image_1,image_2,image_3,style_id,sub_class,class,sub_dept,dept,division,sku,vendor,apparel_type,color,leg_fit,neck_type,pant_length,print_type,sleeve_length
https://dks.scene7.com/is/image/dkscdn/17BSJWCLRBLCKMTLLAPB_Sage_Black,,,ELX4P28,EB FITNESS BOTTOMS,EB FITNESS,EMERGING BRANDS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18551639,BETSEY JOHNSON PERFORMANCE,,Black/Faded Sage,,,,,
https://dks.scene7.com/is/image/dkscdn/17NIKWCLRBLCKTGHTAPB_Black_White,,,AH6312X,N FITNESS BOTTOMS,N FITNESS,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18558488,NIKE,,Black/White,,,,,
https://dks.scene7.com/is/image/dkscdn/17NIKWTHRMGX2CLRBAPT_Pure_Platinum,,,868758,N FLEECE TOPS,N FLEECE,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18077301,NIKE,,Pure Platinum,,,,,
https://dks.scene7.com/is/image/dkscdn/18RBKWSCMRCNCLRBLAPB_Medieval_Blue,,,WAA18305,PB FITNESS BOTTOMS,PB FITNESS,DSG,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18729346,DSG DIRECT,,Medieval Blue,,,,,
https://dks.scene7.com/is/image/dkscdn/17UARWHGRMRCLRBLCAPB_Carbon_Heather_Raisin_Red,,,1316884,UA COMPRESSION BOTTOMS,UA CORE COMPRESSION,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18169976,UNDER ARMOUR,,Carbon Heather/Raisin Red,,,,,
https://dks.scene7.com/is/image/dkscdn/18NIKWCLRBLCKNDRNAPT_Oatmeal_Heather,,,AH8969,N FLEECE TOPS,N FLEECE,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18882434,NIKE,,Oatmeal Heather,,,,,
https://dks.scene7.com/is/image/dkscdn/18NIKWCLRBLCKNDRNAPT_White,,,AH8969,N FLEECE TOPS,N FLEECE,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18882434,NIKE,,White,,,,,
https://dks.scene7.com/is/image/dkscdn/18NIKWSTDCLRBLCKTAPB_Gridiron,,,933430,N FITNESS BOTTOMS,N FITNESS,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18878444,NIKE,,Gridiron,,,,,
https://dks.scene7.com/is/image/dkscdn/16UARWSHPSHFTRCLRAPB_Black_White_Silver,,,1271630,UA FITNESS BOTTOMS,UA FITNESS,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,16227126,UNDER ARMOUR,,Black/White/Silver,,,,,
https://dks.scene7.com/is/image/dkscdn/18NIKWCLRBLCKNDRNAPT_Black,,,AH8969,N FLEECE TOPS,N FLEECE,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18882434,NIKE,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/17UARWHGCLRBLCKPRAPB_Black_Rhino_Gray,,,1307553,UA COMPRESSION BOTTOMS,UA CORE COMPRESSION,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,17963329,UNDER ARMOUR,,Black/Rhino Gray,,,,,
https://dks.scene7.com/is/image/dkscdn/17UARWHGRMRCLRBLCAPB_Black_Rhino_Gray,,,1316884,UA COMPRESSION BOTTOMS,UA CORE COMPRESSION,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18169976,UNDER ARMOUR,,Black/Rhino Gray,,,,,
https://dks.scene7.com/is/image/dkscdn/16CHAWCHMPNWMNBSLAPBA_String_Theory_Black,,,M1256PSP17,TRAINING BOTTOMS,TRAINING,CHAMPION,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18083588,JBI/CHAMPION JOG BRA,,String Theory/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/17NIKWCLRBLCKSWSHAPB_Black,,,905137,N FITNESS BOTTOMS,N FITNESS,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18325621,NIKE,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/16BSJWRCRFRNTPRNTAPU_Black_White,,,EJX6T28,EB MED IMPACT SPORTS BRA,EB SPORTS BRA UNDERWEAR,EMERGING BRANDS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,17679560,BETSEY JOHNSON PERFORMANCE,,Black/White,,,,,
https://dks.scene7.com/is/image/dkscdn/16CHAWCHMPNWMNBSLAPBA_Black_Flight_Blue,,,M1256SP17,TRAINING BOTTOMS,TRAINING,CHAMPION,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18083561,JBI/CHAMPION JOG BRA,,Black/Flight Blue,,,,,
https://dks.scene7.com/is/image/dkscdn/16NIKWPR3CLSHRTCLAPB_Game_Royal,,,812928,N COMPRESSION BOTTOMS,N CORE COMPRESSION,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,16182867,NIKE,,Game Royal,,,,,
https://dks.scene7.com/is/image/dkscdn/17UARWHGCLRBLCKPRAPB_Midnight_Navy_Cape_Coral,,,1307553,UA COMPRESSION BOTTOMS,UA CORE COMPRESSION,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,17963329,UNDER ARMOUR,,Midnight Navy/Cape Coral,,,,,
https://dks.scene7.com/is/image/dkscdn/17NIKWTHRMGX2CLRBAPT_Binary_Blue,,,868758,N FLEECE TOPS,N FLEECE,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18077301,NIKE,,Binary Blue,,,,,
https://dks.scene7.com/is/image/dkscdn/16RBKWCLRBLCKPRFRAPB_Poison_Pink,,,WAA26307CB,PB FITNESS BOTTOMS,PB FITNESS,DSG,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,16867544,DSG DIRECT,,Poison Pink,,,,,
https://dks.scene7.com/is/image/dkscdn/16BSJWRCRFRNTPRNTAPU_Multi_Combo,,,EJX6T28,EB MED IMPACT SPORTS BRA,EB SPORTS BRA UNDERWEAR,EMERGING BRANDS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,17679560,BETSEY JOHNSON PERFORMANCE,,Multi Combo,,,,,
https://dks.scene7.com/is/image/dkscdn/17RBKMNYLXCLRBLCKAPB_Black,,,ARWPS17260,PB TRAINING BOTTOMS,PB TRAINING,DSG,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,17700416,REEBOK INTERNATIONAL LTD.,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/17UARMSPRTSTYLCLRAPT_Black,,,1310572,UA TRAINING TOPS,UA TRAINING,UNDER ARMOUR,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,18825021,UNDER ARMOUR,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/17UARMSPRTSTYLCLRAPT_White,,,1310572,UA TRAINING TOPS,UA TRAINING,UNDER ARMOUR,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,18825021,UNDER ARMOUR,,White,,,,,
https://dks.scene7.com/is/image/dkscdn/17NIKWTTCKCLRBLCKAPB_Black_Black,,,890468,N TRAINING BOTTOMS,N TRAINING,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18329017,NIKE,,Black/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/17NIKWLGNDCLRBLCKAPB_Carbon_Heather,,,904470,N FITNESS BOTTOMS,N FITNESS,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18158145,NIKE,,Carbon Heather,,,,,
https://dks.scene7.com/is/image/dkscdn/18NIKWSTDCLRBLCKTAPB_Smoky_Mauve_Ht,,,933430,N FITNESS BOTTOMS,N FITNESS,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,18878444,NIKE,,Smoky Mauve Ht,,,,,
https://dks.scene7.com/is/image/dkscdn/18AU2MTRNNGSSCLRBAPT_Gravel_Rainforest_Heather,,,MSS200342H,SS TRAINING TOPS,SS TRAINING,SECOND SKIN,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19139131,DSG DIRECT,,Gravel/ Rainforest Hthr,,,,,
https://dks.scene7.com/is/image/dkscdn/16CHAMDBLDRYCLRBLAPOX_Scarlet_Black,,,S270,C FLEECE JACKETS,C FLEECE,CHAMPION,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,16420861,JBI/CHAMPION JOG BRA,,Scarlet/Black,,,,,
